,Отметка времени,Асгард [.],Видео [.],Бизнесс аппс [.],Мобильный приложение  [.],Железо [.],Серийный номер,Тип устройства,Другое,Вопрос без заголовка [Ряд 2],Вопрос без заголовка [Ряд 3],counter
143,2024-05-14 11:31:13,,,,,,2208134244,Камера,"В приложении нет видео, с камеры видео передается",,,0
144,2024-05-14 11:32:01,,,,,,2121124800,Домофон,"В подъезде есть квартиры с дробным обозначением, нужно, чтобы партнер присвоил квартире другой номер",,,0
145,2024-05-14 11:32:15,,,,,,2208134000,Домофон,Приобрести ключ,,,0
146,2024-05-14 11:32:29,,,,,Оффлайн,2125127796,Домофон,,,,0
147,2024-05-14 11:32:31,,,,,,2330153600,Домофон,Звук в режиме просмотра видео и архива,,,0
148,2024-05-14 11:32:42,,Нет видео,,,,2236151907,Камера,,,,0
149,2024-05-14 11:33:09,,,,,,1944104141,Камера,В истории посещений не фиксируется посетитель,,,0
150,2024-05-14 11:33:22,,,,Семья/админ,,2125128890,Домофон,,,,0
151,2024-05-14 11:33:54,,,,,Оффлайн,2101116066,Домофон,,,,0
152,2024-05-14 11:34:20,,,,,,2018200016,Домофон,Нужно узнать ключом какой квартиры была открыта дверь в подъезд,,,0
153,2024-05-14 11:34:38,,,,,,2121121242,Домофон,Код доступа,,,0
154,2024-05-14 11:37:12,,Прошивка камеры,,,,2208135167,Камера,,,,0
155,2024-05-14 11:40:38,,,,,Оффлайн,2208136703,Домофон,,,,0
156,2024-05-14 11:42:07,,,,,,2125128328,Домофон,"""Не работает ключ на открывание двери на пожарную лестницу"" При этом в системе только один домофон и в логах у него валидные ключи",,,0
157,2024-05-14 11:54:42,,Нет видео,,,,1944104859,Камера,,,,0
158,2024-05-14 11:54:53,,Нет видео,,,,2018115395,Камера,,,,0
159,2024-05-14 11:56:04,,Нет видео,,,,2208136124,Домофон,Пнул поток,,,0
160,2024-05-14 11:57:18,Оффлайн,,,,,2121123035,Домофон,,,,0
161,2024-05-14 12:00:04,Оффлайн,,,,,2018109722,Домофон,,,,0
162,2024-05-14 12:06:50,,,,Прочие,Оффлайн,2018112668,Домофон,Не работал код из подписки,,,0
163,2024-05-14 12:11:25,,,Неверное количество ключей,,,1944104322,Домофон,,,,0
164,2024-05-14 12:12:40,,,,,,2125129360,Домофон,Не снималась блокировка квартиры в контроль. (вероятнее всего из-за интернета партнера),,,0
165,2024-05-14 12:13:07,,Нет видео,,,,2101116605,Домофон,Пнул поток ,,,0
166,2024-05-14 12:13:24,Оффлайн,,,,Оффлайн,2235146181,Домофон,,,,0
167,2024-05-14 12:14:52,,,,,Не приходят звонки на ТАП,2235142750,Домофон,,,,0
168,2024-05-14 12:15:29,,,,,Не приходят звонки на ТАП,2208136109,Домофон,,,,0
169,2024-05-14 12:17:39,,,,,,2235145428,Домофон,Смена диапазона,,,0
170,2024-05-14 12:18:30,,Нет видео,,,,2125128005,Домофон,,,,0
171,2024-05-14 12:18:51,,,Неверное количество ключей,,,2125128005,Домофон,,,,0
172,2024-05-14 12:19:09,,,,,Оффлайн,2125128199,Домофон,,,,0
173,2024-05-14 12:19:19,,,,,Оффлайн,2125127092,Домофон,,,,0
174,2024-05-14 12:19:30,,,,,Оффлайн,2125126138,Домофон,,,,0
175,2024-05-14 12:19:41,,,,,Оффлайн,2125128198,Домофон,,,,0
176,2024-05-14 12:19:53,,,,,Оффлайн,2235145574,Домофон,,,,0
177,2024-05-14 12:20:26,,,,,,2235142086,Домофон,Помощь с привязкой панели,,,0
178,2024-05-14 12:20:50,,"Нет видео, Прошивка камеры",,,,2235142086,Домофон,,,,0
179,2024-05-14 12:21:24,,Нет видео,,,,208134816,Домофон,,,,0
180,2024-05-14 12:21:36,,Нет видео,,,,EF00000000915D24 ,Камера,,,,0
181,2024-05-14 12:21:47,,Нет видео,,,,EF000000006DCADF ,Камера,,,,0
182,2024-05-14 12:22:01,,,,,Не приходят звонки на ТАП,2235145556,Домофон,Уровни ,,,0
183,2024-05-14 12:22:11,,Нет видео,,,,nan,Камера,,,,0
184,2024-05-14 12:22:13,,,,,,2236151281,Домофон,Не отвязывалась с адреса,,,0
185,2024-05-14 12:22:29,,"Нет видео, Прошивка камеры",,,,2101115966,Домофон,,,,0
186,2024-05-14 12:22:45,,Нет видео,,,,2235145284,Домофон,,,,0
187,2024-05-14 12:23:10,,,,Прочие,,2329250430,Домофон,,,,0
188,2024-05-14 12:23:35,,,,,Проблема со звуком,2235146010,Домофон,,,,0
189,2024-05-14 12:23:47,,,,,Проблема со звуком,2235146072,Домофон,,,,0
190,2024-05-14 12:24:10,,Нет видео,,,,2208134809,Домофон,,,,0
191,2024-05-14 12:24:20,,Нет видео,,,,2125128514,Домофон,,,,0
192,2024-05-14 12:24:21,Оффлайн,,,,,2235141946,Домофон,,,,0
193,2024-05-14 12:25:07,,,,,,2329250497,Камера,"В приложении нет видео, с камеры видео передается",,,0
194,2024-05-14 12:25:15,Оффлайн,,,,Оффлайн,2235145778,Домофон,,,,0
195,2024-05-14 12:25:41,,,,,Замок не держит,2235144842,Домофон,,,,0
196,2024-05-14 12:26:05,,,,,Проблема со звуком,2121120914,Домофон,,,,0
197,2024-05-14 12:26:18,,,Неверное количество ключей,,,2235145827,Домофон,,,,0
198,2024-05-14 12:26:34,,,,,Проблема со звуком,2235148405,Домофон,Проблемы с аналогом в нескольких кв,,,0
199,2024-05-14 12:26:35,,,,,Не приходят звонки на ТАП,2121120914,Домофон,,,,0
200,2024-05-14 12:26:52,,,,,"Проблема со звуком, Не приходят звонки на ТАП",2121120914,Домофон,,,,0
201,2024-05-14 12:27:07,,,Неверное количество ключей,,,2235144067,Домофон,,,,0
202,2024-05-14 12:27:34,,,,,Замок не держит,2235144067,Домофон,,,,0
203,2024-05-14 12:27:59,Оффлайн,,,,Оффлайн,2121120914,Домофон,,,,0
204,2024-05-14 12:28:24,,,,Оплата подписки,,1944105012,Домофон,,,,0
205,2024-05-14 12:28:46,,,,,Проблема со звуком,2401155640,Домофон,,,,0
206,2024-05-14 12:29:02,,,,Прочие,,2401155076,Домофон,Вылетает звонок при ответе,,,0
207,2024-05-14 12:29:03,,,,,Проблема со звуком,2401155436,Домофон,,,,0
208,2024-05-14 12:29:42,Оффлайн,,,,Оффлайн,2235144813,Домофон,,,,0
209,2024-05-14 12:30:03,,,,,"Оффлайн, Прошивка через программатор",2236150012,Домофон,,,,0
210,2024-05-14 12:30:15,Оффлайн,,,,"Оффлайн, Прошивка через программатор",2121125134,Домофон,,,,0
211,2024-05-14 12:30:33,Оффлайн,,,,Оффлайн,2235144882,Домофон,,,,0
212,2024-05-14 12:30:50,,Нет видео,,,,2121123249,Домофон,,,,0
213,2024-05-14 12:31:11,,,,,Прошивка через программатор,2236150012,Домофон,,,,0
214,2024-05-14 12:31:23,,,,,,2018111964,Камера,Архив не подключен партнером или жителем по подписке,,,0
215,2024-05-14 12:31:29,,,Неверное количество ключей,,,2235144882,Домофон,,,,0
